Strike,Call Price,Call SE,Call 95% CI,Put Price,Put SE,Put 95% CI
90,11.267299188517264,0.02449591754119634,"[11.2193, 11.3153]",0.2503552572974391,0.0035889224833666068,"[0.2433, 0.2574]"
105,1.8202250498753447,0.012176810112183535,"[1.7964, 1.8441]",5.432929799080509,0.017980202336088588,"[5.3977, 5.4682]"
110,0.7278353695477171,0.007641976188483121,"[0.7129, 0.7428]",9.217089678894546,0.021835197215968664,"[9.1743, 9.2599]"
