Strike,Call MC,Call AV,Call SE MC,Call SE AV,Call 95% CI MC,Call 95% CI AV,Call Variance Reduction %,Put MC,Put AV,Put SE MC,Put SE AV,Put 95% CI MC,Put 95% CI AV,Put Variance Reduction %
90,11.267299188517264,11.253122434400769,0.02449591754119634,0.005955786413969522,"[11.2193, 11.3153]","[11.2414, 11.2648]",94.08859374775102,0.2503552572974391,0.2555223088957319,0.0035889224833666068,0.0034951501751370084,"[0.2433, 0.2574]","[0.2487, 0.2624]",5.1573838623058315
105,1.8202250498753447,1.8294162702827814,0.012176810112183535,0.010719217450357837,"[1.7964, 1.8441]","[1.8084, 1.8504]",22.507602946043413,5.432929799080509,5.461464825202734,0.017980202336088588,0.008232259076566354,"[5.3977, 5.4682]","[5.4453, 5.4776]",79.03721838938192
110,0.7278353695477171,0.7307878839245432,0.007641976188483121,0.007275708500639012,"[0.7129, 0.7428]","[0.7165, 0.7450]",9.355966754952515,9.217089678894546,9.239385998986158,0.021835197215968664,0.004825297658721796,"[9.1743, 9.2599]","[9.2299, 9.2488]",95.11646864923027
