Variable,Value,Call Price,Put Price
S0,90.0,0.14280027716389665,13.62885309556045
S0,100.0,1.8083065252565635,5.414194016477741
S0,110.0,7.447176025898359,1.1728981899441624
Sigma,0.1,0.4356692038170927,4.056530304947755
Sigma,0.2,1.8083065252565635,5.414194016477741
Sigma,0.3,3.3612918735756234,6.953776905882797
